id,service_id,location_id,phone_id,name,code,note
lang-368-english,svc-368,loc-368,NA,English,NA,NA
lang-369-english,svc-369,loc-369,NA,English,NA,NA
lang-370-english,svc-370,loc-370,NA,English,NA,NA
lang-371-english,svc-371,loc-371,NA,English,NA,NA
lang-372-english,svc-372,loc-372,NA,English,NA,NA
lang-373-english,svc-373,loc-373,NA,English,NA,NA
lang-374-english,svc-374,loc-374,NA,English,NA,NA
lang-375-english,svc-375,loc-375,NA,English,NA,NA
lang-376-english,svc-376,loc-376,NA,English,NA,NA
lang-377-english,svc-377,loc-377,NA,English,NA,NA
lang-378-english,svc-378,loc-378,NA,English,NA,NA
lang-379-english,svc-379,loc-379,NA,English,NA,NA
lang-380-english,svc-380,loc-380,NA,English,NA,NA
lang-381-english,svc-381,loc-381,NA,English,NA,NA
lang-382-english,svc-382,loc-382,NA,English,NA,NA
lang-383-english,svc-383,loc-383,NA,English,NA,NA
lang-384-english,svc-384,loc-384,NA,English,NA,NA
lang-385-english,svc-385,loc-385,NA,English,NA,NA
lang-386-english,svc-386,loc-386,NA,English,NA,NA
lang-387-english,svc-387,loc-387,NA,English,NA,NA
lang-388-english,svc-388,loc-388,NA,English,NA,NA
lang-389-english,svc-389,loc-389,NA,English,NA,NA
lang-390-english,svc-390,loc-390,NA,English,NA,NA
lang-391-english,svc-391,loc-391,NA,English,NA,NA
lang-392-english,svc-392,loc-392,NA,English,NA,NA
lang-393-english,svc-393,loc-393,NA,English,NA,NA
lang-394-english,svc-394,loc-394,NA,English,NA,NA
lang-395-english,svc-395,loc-395,NA,English,NA,NA
lang-396-english,svc-396,loc-396,NA,English,NA,NA
lang-397-english,svc-397,loc-397,NA,English,NA,NA
lang-398-english,svc-398,loc-398,NA,English,NA,NA
lang-399-english,svc-399,loc-399,NA,English,NA,NA
lang-400-english,svc-400,loc-400,NA,English,NA,NA
lang-401-english,svc-401,loc-401,NA,English,NA,NA
lang-402-english,svc-402,loc-402,NA,English,NA,NA
lang-403-english,svc-403,loc-403,NA,English,NA,NA
lang-404-english,svc-404,loc-404,NA,English,NA,NA
lang-405-english,svc-405,loc-405,NA,English,NA,NA
lang-406-english,svc-406,loc-406,NA,English,NA,NA
lang-407-english,svc-407,loc-407,NA,English,NA,NA
lang-408-english,svc-408,loc-408,NA,English,NA,NA
lang-409-english,svc-409,loc-409,NA,English,NA,NA
lang-410-english,svc-410,loc-410,NA,English,NA,NA
lang-411-english,svc-411,loc-411,NA,English,NA,NA
lang-412-english,svc-412,loc-412,NA,English,NA,NA
lang-413-english,svc-413,loc-413,NA,English,NA,NA
lang-414-english,svc-414,loc-414,NA,English,NA,NA
lang-415-english,svc-415,loc-415,NA,English,NA,NA
lang-416-english,svc-416,loc-416,NA,English,NA,NA
lang-417-english,svc-417,loc-417,NA,English,NA,NA
lang-418-english,svc-418,loc-418,NA,English,NA,NA
lang-419-english,svc-419,loc-419,NA,English,NA,NA
lang-420-english,svc-420,loc-420,NA,English,NA,NA
lang-421-english,svc-421,loc-421,NA,English,NA,NA
lang-422-english,svc-422,loc-422,NA,English,NA,NA
lang-423-english,svc-423,loc-423,NA,English,NA,NA
lang-424-english,svc-424,loc-424,NA,English,NA,NA
lang-425-english,svc-425,loc-425,NA,English,NA,NA
lang-426-english,svc-426,loc-426,NA,English,NA,NA
lang-427-english,svc-427,loc-427,NA,English,NA,NA
lang-428-english,svc-428,loc-428,NA,English,NA,NA
lang-429-english,svc-429,loc-429,NA,English,NA,NA
lang-430-english,svc-430,loc-430,NA,English,NA,NA
lang-431-english,svc-431,loc-431,NA,English,NA,NA
lang-432-english,svc-432,loc-432,NA,English,NA,NA
lang-433-english,svc-433,loc-433,NA,English,NA,NA
lang-434-english,svc-434,loc-434,NA,English,NA,NA
lang-435-english,svc-435,loc-435,NA,English,NA,NA
lang-436-english,svc-436,loc-436,NA,English,NA,NA
lang-437-english,svc-437,loc-437,NA,English,NA,NA
lang-438-english,svc-438,loc-438,NA,English,NA,NA
lang-439-english,svc-439,loc-439,NA,English,NA,NA
lang-440-english,svc-440,loc-440,NA,English,NA,NA
lang-441-english,svc-441,loc-441,NA,English,NA,NA
lang-442-english,svc-442,loc-442,NA,English,NA,NA
lang-443-english,svc-443,loc-443,NA,English,NA,NA
